SA2_NAME,z_business,z_POI,z_income,z_young,score
Balgowlah - Clontarf - Seaforth,0.8582275999440838,-0.34085429866652617,1.772855108978822,2.084997472370422,0.7346306560092554
Manly - Fairlight,1.7032116607785184,0.0012417278639946664,2.5612281781962416,0.582621351189475,0.7731015015030828
Avalon - Palm Beach,0.13081609373810757,0.10740946023553562,-1.1481207971750238,-0.25388389536346656,0.4165804513862698
Bayview - Elanora Heights,-0.2735455894700484,1.8532788370119868,-0.7008656132318528,-0.5975335839378723,0.542772238886409
Newport - Bilgola,0.16707678815623025,3.0093274783909885,-0.3028947470785629,-0.1665825887972203,0.6925416307357083
Mona Vale - Warriewood (North),1.0032703776165746,0.21357719260707658,-0.6876644566809917,0.028654878614566823,0.5160342181643193
North Narrabeen - Warriewood (South),-0.6031882659984364,0.1427987043593826,-0.029190767924044642,-0.2578521365710232,0.46552337181175685
Beacon Hill - Narraweena,-0.5900025589373009,-0.706543154612945,-0.9293336292720873,0.32389202445678145,0.36726102459177207
Cromer,-0.815258387898366,-0.7301359840288429,-0.783944891791938,-0.9665800162406406,0.3077643704571268
Forestville - Killarney Heights,-0.5295680682404298,-0.34085429866652617,-0.03411919970303275,0.3159555420416682,0.46127407743016935
Freshwater - Brookvale,2.84267651264498,0.26076285143887257,1.440537994738481,1.3667458138026687,0.7945012681299426
Manly Vale - Allambie Heights,-0.13399685640636413,0.4259126573501585,0.5986562376349049,1.1810321252890175,0.6263939818322741
Terrey Hills - Duffys Forest,-1.2295093514023736,-0.19929732217113824,-0.34795469477216845,-1.9999100266883918,0.3078778208661852
Belrose,-0.717464393861611,0.024834557279892654,-0.9138442722524104,-0.957849885584016,0.35393981731897634
Collaroy - Collaroy Plateau,-0.32848603555811307,-0.5413933487016591,0.17921149015888116,0.017543803233408206,0.45739283108096934
Dee Why (South) - North Curl Curl,-0.8778904964387598,-1.4497172812137318,0.3295286594180185,-0.8848342473649736,0.33434424085502756
Dee Why - North,-0.016424301777905742,-1.095824839975262,-0.5626935079995076,-0.1673762370387316,0.36951090371741246
Frenchs Forest - Oxford Falls,0.15279227217333344,-0.11672241921549528,0.27848418742135594,1.316745974587455,0.5847821784957015
Narrabeen - Wheeler Heights,-0.7427369990621207,-0.5178005192857611,-0.7198752786650926,-0.9657863679991293,0.32893465277414363
